Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.25827574193841,0.0288236297959346,STM3646,STM2285,STM3526,STM0169,STM0861,STM4326,STM1511,STM2952,STM1135,STM0369,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM4578,STM2338,STM2466,,,,,,,,,,,,,,,,,,,
20,0.259559837343661,0.0278118704084842,STM3646,STM1749,STM2463,STM4108,STM2285,STM3526,STM0169,STM0861,STM4326,STM1511,STM1135,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,,,,,,,,,,,,,,,,,,,
20,0.259170413372331,0.0277260213459069,STM3646,STM2285,STM3526,STM0169,STM4567,STM0861,STM4326,STM1511,STM0517,STM1135,STM4183,STM0369,STM3069,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,,,,,,,,,,,,,,,,,,,
21,0.258297126559769,0.0288067805155067,STM3646,STM1749,STM2463,STM2285,STM3526,STM0169,STM0861,STM4326,STM1511,STM2952,STM1135,STM0369,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM0977,,,,,,,,,,,,,,,,,,
22,0.248899210829027,0.0287350216388109,STM1749,STM2463,STM4108,STM2285,STM3526,STM1290,STM4326,STM1511,STM1884,STM0321,STM3709,STM3529,STM1620,STM0370,STM1448,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,,,,,,,,,,,,,,,,,
22,0.256844546634285,0.0272737727614874,STM3646,STM4108,STM2285,STM3526,STM1290,STM4568,STM4570,STM4326,STM1511,STM1884,STM0321,STM3529,STM1135,STM1448,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,,,,,,,,,,,,,,,,,
22,0.256422278879519,0.0272223676993778,STM4108,STM2285,STM3526,STM0322,STM1290,STM4326,STM1511,STM1885,STM3529,STM1620,STM1448,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM2338,STM2466,STM3248,STM0519,,,,,,,,,,,,,,,,,
23,0.256845671477885,0.0272836622715228,STM3646,STM2122,STM2285,STM3526,STM0322,STM1290,STM4570,STM4326,STM1511,STM1884,STM0840,STM0842,STM1135,STM1448,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM2051,,,,,,,,,,,,,,,,
23,0.249246194907529,0.00345993370494327,STM3646,STM1749,STM2463,STM2285,STM3526,STM0322,STM1290,STM4326,STM0840,STM0842,STM3709,STM1135,STM3542,STM4485,STM0369,STM1448,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3708,,,,,,,,,,,,,,,,
23,0.248797672149057,0.00317468836370358,STM1749,STM2463,STM4108,STM2285,STM3526,STM4326,STM1885,STM0321,STM3709,STM3529,STM1620,STM0370,STM1448,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM3708,,,,,,,,,,,,,,,,
24,0.202140076924664,0.0706487953851432,STM2285,STM3526,STM0322,STM3091,STM1290,STM4570,STM4326,STM1511,STM1885,STM1620,STM0368,STM1448,STM1326,STM4062,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM0218,,,,,,,,,,,,,,,
24,0.238809050489062,0.0373601748020375,STM3646,STM0158,STM1749,STM2463,STM2285,STM3526,STM0322,STM4326,STM1885,STM0840,STM0842,STM2947,STM1135,STM1448,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM0007,STM2473,STM3708,,,,,,,,,,,,,,,
24,0.240224051416934,0.0358409960672891,STM0158,STM1749,STM2463,STM2285,STM3526,STM1290,STM4326,STM0321,STM0840,STM0842,STM2947,STM1620,STM3542,STM4485,STM1448,STM0518,STM4184,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM3708,,,,,,,,,,,,,,,
24,0.256637656001057,0.0331796619282021,STM3646,STM4108,STM2285,STM3526,STM1290,STM4567,STM4326,STM1511,STM1884,STM3529,STM1135,STM0368,STM1448,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2196,STM3240,STM2971,STM1826,,,,,,,,,,,,,,,
24,0.246635614791057,0.00879862650037319,STM1749,STM2463,STM2285,STM3526,STM4326,STM1511,STM2952,STM0840,STM0842,STM3709,STM1620,STM3542,STM4485,STM0369,STM1448,STM3062,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,,,,,,,,,,,,,,,
24,0.24879955596998,0.00318912105299189,STM1749,STM2463,STM2285,STM3526,STM0169,STM0861,STM4326,STM0321,STM0840,STM0842,STM3709,STM1620,STM0368,STM1448,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3248,STM0519,STM3708,,,,,,,,,,,,,,,
25,0.190929812042985,0.0595738003761887,STM3646,STM1749,STM2463,STM2285,STM3526,STM0322,STM4570,STM4326,STM2952,STM2947,STM3068,STM2141,STM1135,STM3542,STM4485,STM4183,STM0368,STM1448,STM4484,STM2317,STM3179,STM1480,STM4126,STM0977,STM3708,,,,,,,,,,,,,,
25,0.25629637931335,0.0273230692062897,STM2927,STM4108,STM2285,STM3526,STM0322,STM4326,STM1885,STM3709,STM3529,STM1620,STM1448,STM3069,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM3248,STM0519,STM2332,STM0218,STM3708,,,,,,,,,,,,,,
25,0.238992241800386,0.0160778484276357,STM3646,STM1749,STM2463,STM4108,STM2285,STM3526,STM0322,STM0169,STM0861,STM4326,STM2952,STM2947,STM3529,STM1135,STM4183,STM0370,STM1448,STM4484,STM2317,STM3179,STM4569,STM1480,STM4126,STM0977,STM3708,,,,,,,,,,,,,,
25,0.229415571927429,0.013244450250336,STM3646,STM1749,STM2463,STM2285,STM3526,STM4326,STM1511,STM1885,STM2952,STM0321,STM0840,STM0842,STM1135,STM4183,STM0491,STM0974,STM1448,STM4484,STM2317,STM3179,STM1480,STM4126,STM0977,STM2041,STM3708,,,,,,,,,,,,,,
25,0.227873105302297,0.00847155088046968,STM1749,STM2463,STM2285,STM3526,STM4570,STM4326,STM1885,STM2952,STM0840,STM0842,STM3709,STM1620,STM0369,STM0974,STM1448,STM3062,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM3708,,,,,,,,,,,,,,
25,0.255578265848563,0.0305617747041528,STM2285,STM3526,STM4326,STM1885,STM3709,STM1620,STM0491,STM0369,STM1448,STM1326,STM4062,STM3069,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM1124,STM0007,STM2473,STM3708,,,,,,,,,,,,,,
25,0.240206085762165,0.0358556904050632,STM1749,STM2463,STM2285,STM3526,STM0322,STM1290,STM4570,STM4326,STM1884,STM0840,STM0842,STM2947,STM1620,STM1448,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM3241,STM0973,STM2051,STM3708,,,,,,,,,,,,,,
26,0.256443202971659,0.0272056314413441,STM1749,STM2463,STM4108,STM2285,STM3526,STM4326,STM1511,STM1885,STM0321,STM3529,STM1620,STM4408,STM1291,STM3069,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM2338,STM2466,STM0402,STM0608,STM1341,,,,,,,,,,,,,
26,0.227271103987254,0.00912909524957245,STM0158,STM1749,STM2463,STM2285,STM3526,STM0169,STM4567,STM0861,STM4326,STM2952,STM0321,STM0840,STM0842,STM3709,STM1620,STM0974,STM1448,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM0977,STM3708,,,,,,,,,,,,,
26,0.248799555969978,0.00318912104636641,STM1749,STM2463,STM2285,STM3526,STM0322,STM1290,STM4326,STM1511,STM1884,STM0840,STM0842,STM3709,STM1620,STM0370,STM4408,STM1291,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM0402,STM0608,STM1341,,,,,,,,,,,,,
26,0.248797672149056,0.00317468836361232,STM1749,STM2463,STM4108,STM2285,STM3526,STM1290,STM4326,STM1511,STM1884,STM0321,STM3709,STM3529,STM1620,STM0368,STM3597,STM4408,STM1291,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM0402,STM0608,,,,,,,,,,,,,
26,0.198450245770439,0.00304317497186798,STM1463,STM1749,STM2463,STM2285,STM3526,STM1290,STM4326,STM1511,STM2947,STM1620,STM3542,STM4485,STM0974,STM1448,STM1326,STM4062,STM0518,STM4184,STM4484,STM2317,STM3179,STM1480,STM4126,STM1124,STM2051,STM3708,,,,,,,,,,,,,
