Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,
8,0.402440110742887,0.333500107572156,STM4340,STM3359,STM1566,STM2472,STM4301,STM3599,STM4325,STM0627,,,,,,,,,
9,0.402588774372363,0.333623304378482,STM4340,STM1469,STM0761,STM1468,STM4300,STM4301,STM3599,STM4325,STM0627,,,,,,,,
14,0.286852791360874,0.128953811798147,STM2285,STM1620,STM0974,STM3359,STM1566,STM2472,STM3062,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,,
14,0.286852791360874,0.128953811798181,STM2285,STM1620,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM0977,STM4301,STM3599,STM4325,STM0627,,,
15,0.286852791360872,0.128953811784784,STM1469,STM0761,STM1468,STM4300,STM2285,STM1620,STM0974,STM1211,STM2317,STM3179,STM0977,STM4301,STM3599,STM4325,STM0627,,
15,0.286852791360819,0.128953811795273,STM1469,STM0761,STM1468,STM4300,STM2285,STM1620,STM0974,STM3062,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,
15,0.286852791360875,0.128953811798217,STM2285,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM0977,STM4301,STM3599,STM4325,STM0627,,
15,0.306244605850272,0.122359113533985,STM3646,STM2285,STM4568,STM1135,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,
15,0.287982656215181,0.115062606343087,STM3646,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM0977,STM4301,STM3599,STM4325,STM0627,,
15,0.287982656215181,0.115062606343102,STM3646,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4578,STM4301,STM3599,STM4325,STM0627,,
15,0.287982656215181,0.115062606343102,STM3646,STM2285,STM1135,STM0974,STM3359,STM1566,STM2472,STM3062,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,
15,0.111487937637328,0.050119067900921,STM2285,STM3866,STM1570,STM1620,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,,
16,0.286852791360875,0.128953811797907,STM1469,STM0761,STM1468,STM4300,STM2285,STM1570,STM1620,STM4036,STM3062,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,
16,0.286852791360875,0.128953811797907,STM1469,STM0761,STM1468,STM4300,STM2285,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM4578,STM4301,STM3599,STM4325,STM0627,
16,0.288249801495657,0.115169343437616,STM3646,STM1469,STM0761,STM1468,STM4300,STM2285,STM1135,STM0974,STM3062,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,
16,0.287982656215181,0.11506260634265,STM3646,STM2285,STM1135,STM1570,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM0977,STM4301,STM3599,STM4325,STM0627,
16,0.226470226138571,0.101809010749966,STM1469,STM0761,STM1468,STM4300,STM2285,STM1570,STM1620,STM4036,STM2081,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,
16,0.111487937637329,0.0501190679008677,STM1469,STM0761,STM1468,STM4300,STM2285,STM3866,STM1570,STM1620,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,
16,0.111783129662471,0.044662614105648,STM3646,STM2285,STM3866,STM1135,STM1570,STM4036,STM3359,STM1566,STM2472,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,
16,0.26117675852517,0.117411228263363,STM1469,STM0761,STM1468,STM4300,STM2285,STM1570,STM1620,STM4036,STM0785,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627,
17,0.311394985658354,0.124416932336784,STM3646,STM1469,STM0761,STM1468,STM4300,STM2285,STM1750,STM1135,STM1570,STM4036,STM1211,STM2317,STM3179,STM4301,STM3599,STM4325,STM0627
