Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
6,0.499810617598525,12.4036283284289,b1849,b3115,b2296,b0727,b1852,b4015,
6,0.499810617598525,12.4036283284289,b1849,b3115,b2296,b0727,b2029,b4015,
6,0.724856030764145,4.44796523236203,b1849,b3115,b2296,b0474,b0727,b4015,
6,0.724856030764145,4.44796523236203,b1849,b3115,b2296,b4015,b1702,b0729,
6,0.724856030764145,4.44796523236203,b1849,b3115,b2296,b0474,b4015,b0729,
6,0.724856030764145,4.44796523236203,b1849,b3115,b2296,b0727,b4015,b1702,
7,0.499810617598525,12.4036283284289,b1849,b3115,b2296,b0727,b4014,b2976,b0767
7,0.499810617598525,12.4036283284289,b1849,b3115,b2296,b0727,b2029,b4014,b2976
7,0.499810617598525,12.4036283284289,b1849,b3115,b2296,b4014,b2976,b0767,b0729
7,0.499810617598525,12.4036283284289,b1849,b3115,b2296,b2029,b4014,b2976,b0729
7,0.724856030764145,4.44796523236203,b1849,b3115,b2296,b0474,b0727,b4014,b2976
7,0.724856030764145,4.44796523236203,b1849,b3115,b2296,b0727,b4014,b2976,b1702
