Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
4,0.214576154615936,0.0456505404541873,CLJU_RS11880,CLJU_RS07210,CLJU_RS03475,CLJU_RS18530,,,
4,0.214576154615936,0.0456505404541873,CLJU_RS11895,CLJU_RS07210,CLJU_RS03475,CLJU_RS18530,,,
6,0.155733766275856,0.290684394240937,CLJU_RS11880,CLJU_RS00965,CLJU_RS01155,CLJU_RS06110,CLJU_RS18530,CLJU_RS05590,
6,0.155733766275856,0.290684394240937,CLJU_RS11895,CLJU_RS00965,CLJU_RS01155,CLJU_RS06110,CLJU_RS18530,CLJU_RS05590,
6,0.155733766275856,0.290684394240937,CLJU_RS11895,CLJU_RS00610,CLJU_RS01155,CLJU_RS06110,CLJU_RS18530,CLJU_RS05590,
6,0.155733766275856,0.290684394240937,CLJU_RS11880,CLJU_RS00610,CLJU_RS01155,CLJU_RS06110,CLJU_RS18530,CLJU_RS05590,
6,0.0667616877045539,0.0670139467344948,CLJU_RS11880,CLJU_RS07210,CLJU_RS03475,CLJU_RS06260,CLJU_RS01595,CLJU_RS05590,
6,0.0684895755077825,0.0687483633695592,CLJU_RS06265,CLJU_RS11895,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS01595,
6,0.0684895755077825,0.0687483633695592,CLJU_RS11880,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS06260,CLJU_RS01595,
6,0.0667616877045539,0.0670139467344948,CLJU_RS11880,CLJU_RS06265,CLJU_RS07210,CLJU_RS03475,CLJU_RS01595,CLJU_RS05590,
6,0.0667616877045539,0.0670139467344948,CLJU_RS06265,CLJU_RS11895,CLJU_RS07210,CLJU_RS03475,CLJU_RS01595,CLJU_RS05590,
6,0.0684895755077825,0.0687483633695592,CLJU_RS11880,CLJU_RS06265,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS01595,
6,0.0684895755077825,0.0687483633695592,CLJU_RS11895,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS06260,CLJU_RS01595,
7,0.0539655501244414,0.122280270195691,CLJU_RS11880,CLJU_RS06265,CLJU_RS00965,CLJU_RS01155,CLJU_RS06110,CLJU_RS01595,CLJU_RS05590
7,0.0539655501244429,0.122280270195972,CLJU_RS11880,CLJU_RS06265,CLJU_RS00610,CLJU_RS01155,CLJU_RS06110,CLJU_RS01595,CLJU_RS05590
7,0.0539655501244429,0.122280270195972,CLJU_RS11895,CLJU_RS00610,CLJU_RS01155,CLJU_RS06110,CLJU_RS06260,CLJU_RS01595,CLJU_RS05590
7,0.0539655501244429,0.122280270195972,CLJU_RS06265,CLJU_RS11895,CLJU_RS00610,CLJU_RS01155,CLJU_RS06110,CLJU_RS01595,CLJU_RS05590
7,0.0539655501244429,0.122280270195972,CLJU_RS11880,CLJU_RS00610,CLJU_RS01155,CLJU_RS06110,CLJU_RS06260,CLJU_RS01595,CLJU_RS05590
7,0.0539655501244414,0.122280270195691,CLJU_RS11880,CLJU_RS00965,CLJU_RS01155,CLJU_RS06110,CLJU_RS06260,CLJU_RS01595,CLJU_RS05590
7,0.0539655501244414,0.122280270195691,CLJU_RS11895,CLJU_RS00965,CLJU_RS01155,CLJU_RS06110,CLJU_RS06260,CLJU_RS01595,CLJU_RS05590
7,0.0539655501244414,0.122280270195691,CLJU_RS06265,CLJU_RS11895,CLJU_RS00965,CLJU_RS01155,CLJU_RS06110,CLJU_RS01595,CLJU_RS05590
