Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
2,0.340893038662814,0.0915891081188469,PHATRDRAFT_10454,PHATRDRAFT_859,,,,
2,0.340893038662813,0.0915891081188465,PHATRDRAFT_10454,PHATRDRAFT_20310,,,,
2,0.340893038662811,0.091589108118846,PHATRDRAFT_10454,PHATRDRAFT_23913,,,,
2,0.340893038662803,0.0915891081188437,PHATRDRAFT_10454,PHATRDRAFT_48078,,,,
2,0.347705898622809,0.058245365440178,PHATRDRAFT_26290,PHATRDRAFT_10454,,,,
2,0.347705898622834,0.0582453654401817,PHATRDRAFT_30145,PHATRDRAFT_10454,,,,
3,0.340893038662873,0.0915891081188625,PHATRDRAFT_10454,PHATRDRAFT_25932,PHATRDRAFT_11014,,,
4,0.336762592860944,0.111804483566804,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,,
4,0.336762592860945,0.111804483566804,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,,
4,0.336762592860945,0.111804483566804,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.340053689318118,0.095697081675852,PHATRDRAFT_30145,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,
4,0.340053689318118,0.095697081675852,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,
4,0.347705898622812,0.0582453654401785,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_10454,PHATRDRAFT_51970,,
4,0.350808310118164,0.0430614322328683,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_859,,
4,0.35080831011808,0.0430614322328581,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,PHATRDRAFT_10693,,
4,0.350808310118136,0.0430614322328649,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.350808310118164,0.0430614322328683,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_859,PHATRDRAFT_10693,,
4,0.354381118482984,0.0255752658572983,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,
4,0.349881624236041,0.0475968513920252,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_10454,PHATRDRAFT_43469,,
5,0.336762592860916,0.111804483566794,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_31367,
5,0.336762592860945,0.111804483566804,PHATRDRAFT_45947,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_28068,
5,0.347023238950063,0.061586462806148,PHATRDRAFT_14401,PHATRDRAFT_19708,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,
5,0.350808310118246,0.0430614322328785,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_41886,PHATRDRAFT_39681,
5,0.35080831011818,0.0430614322328701,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_20310,PHATRDRAFT_31367,
6,0.351410855672273,0.0401124322494268,PHATRDRAFT_42015,PHATRDRAFT_10454,PHATRDRAFT_18064,PHATRDRAFT_8945,PHATRDRAFT_41686,PHATRDRAFT_16649
