Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
3,0.352963832594098,0.00464454244310176,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_28181,,,,,,,,,
3,0.352963832593931,0.00464454244288381,PHATRDRAFT_54015,PHATRDRAFT_23913,PHATRDRAFT_28181,,,,,,,,,
3,0.35296383259412,0.00464454244307119,PHATRDRAFT_54015,PHATRDRAFT_21970,PHATRDRAFT_42245,,,,,,,,,
3,0.352963832594181,0.00464454244310193,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_21970,,,,,,,,,
3,0.352963832594123,0.00464454244310512,PHATRDRAFT_54015,PHATRDRAFT_48078,PHATRDRAFT_21970,,,,,,,,,
3,0.352963832594129,0.00464454244310393,PHATRDRAFT_54015,PHATRDRAFT_20310,PHATRDRAFT_28181,,,,,,,,,
4,0.352963832594124,0.00464454244278362,PHATRDRAFT_45947,PHATRDRAFT_54015,PHATRDRAFT_28068,PHATRDRAFT_28181,,,,,,,,
4,0.352963832594237,0.00464454244331594,PHATRDRAFT_54015,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_28181,,,,,,,,
6,0.355108301030813,0.00314518043493896,PHATRDRAFT_30519,PHATRDRAFT_27976,Phatr3_EG02261,PHATRDRAFT_26290,PHATRDRAFT_49339,PHATRDRAFT_19708,,,,,,
7,0.289654997962295,0.04890859399192,PHATRDRAFT_30145,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_8691,PHATRDRAFT_49339,PHATRDRAFT_50742,PHATRDRAFT_19708,,,,,
7,0.318444382981833,0.0287797315667667,PHATRDRAFT_30519,PHATRDRAFT_27976,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_20310,,,,,
7,0.354779122285354,0.00337533448919844,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_14401,PHATRDRAFT_draft1572,PHATRDRAFT_19708,PHATRDRAFT_18064,,,,,
8,0.242180434264661,0.0532882626710602,PHATRDRAFT_30519,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_29016,PHATRDRAFT_draft1572,PHATRDRAFT_28191,PHATRDRAFT_23913,PHATRDRAFT_51830,,,,
9,0.242180434264134,0.0532882626710029,PHATRDRAFT_27976,Phatr3_EG02261,PHATRDRAFT_49339,PHATRDRAFT_40430,PHATRDRAFT_28191,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_43194,PHATRDRAFT_23913,,,
11,0.318444382982608,0.0287797315668891,PHATRDRAFT_10257,PHATRDRAFT_draft870,PHATRDRAFT_10073,Phatr3_EG02251,PHATRDRAFT_50742,PHATRDRAFT_19708,Phatr3_EG02042,PHATRDRAFT_36906,PHATRDRAFT_43194,PHATRDRAFT_42245,PHATRDRAFT_8990,
12,0.338668272612734,0.0146396625178502,PHATRDRAFT_10257,PHATRDRAFT_draft870,PHATRDRAFT_10073,PHATRDRAFT_42015,PHATRDRAFT_30519,Phatr3_EG02251,PHATRDRAFT_50742,PHATRDRAFT_42245,PHATRDRAFT_8990,PHATRDRAFT_8945,PHATRDRAFT_41686,PHATRDRAFT_16649
