Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
4,0.322300888277267,0.0260833535627738,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_23913,PHATRDRAFT_46728,,,
4,0.322300888277275,0.0260833535628126,PHATRDRAFT_55192,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,,
4,0.322300888277264,0.0260833535627963,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_20310,PHATRDRAFT_23913,,,
4,0.322300888277264,0.0260833535627963,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_20310,PHATRDRAFT_23913,,,
4,0.322300888277268,0.0260833535626894,PHATRDRAFT_45947,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,,
4,0.322300888277267,0.0260833535627738,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_46728,,,
4,0.322300888277275,0.0260833535628126,PHATRDRAFT_54219,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_23913,,,
4,0.322300888277268,0.0260833535628049,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_19708,PHATRDRAFT_23913,,,
4,0.322300888277275,0.0260833535628126,PHATRDRAFT_55192,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,,,
4,0.322300888277268,0.0260833535628049,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_19708,PHATRDRAFT_23913,,,
5,0.322300888277268,0.0260833535628025,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_23365,,
5,0.322300888277275,0.0260833535628126,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_36256,PHATRDRAFT_23913,,
6,0.322300888277263,0.0260833535628045,PHATRDRAFT_42015,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_19708,PHATRDRAFT_41886,PHATRDRAFT_39681,
6,0.322300888277158,0.0260833535627659,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_40430,PHATRDRAFT_20143,PHATRDRAFT_20310,PHATRDRAFT_23365,
6,0.322300888277158,0.0260833535627659,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_29016,PHATRDRAFT_20143,PHATRDRAFT_20310,PHATRDRAFT_23365,
6,0.322300888277157,0.0260833535627688,PHATRDRAFT_draft976,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_44384,
6,0.322300888277269,0.0260833535627377,PHATRDRAFT_42015,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_40430,PHATRDRAFT_20143,PHATRDRAFT_20310,
7,0.322300888277157,0.0260833535627717,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_36390
7,0.322300888277294,0.0260833535627657,PHATRDRAFT_draft976,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_20143,PHATRDRAFT_20310,PHATRDRAFT_20445,PHATRDRAFT_44384
7,0.322300888277336,0.0260833535631138,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_23365
