Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
4,0.301452322883124,0.0406601812473048,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_20310,PHATRDRAFT_23913,,,
4,0.301452322883067,0.0406601812472131,PHATRDRAFT_54219,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,,
4,0.301452322883067,0.0406601812472131,PHATRDRAFT_54219,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_23913,,,
4,0.301452322883067,0.0406601812472131,PHATRDRAFT_55192,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,,
4,0.301452322883094,0.0406601812471839,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_51830,,,
4,0.301452322883124,0.0406601812473048,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_20310,PHATRDRAFT_23913,,,
4,0.301452322883124,0.0406601812473048,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_20310,PHATRDRAFT_23913,,,
4,0.301452322883094,0.0406601812471839,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_51830,,,
4,0.301452322883094,0.0406601812471572,PHATRDRAFT_45947,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,,,
4,0.301452322883094,0.0406601812471572,PHATRDRAFT_45947,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,,,
4,0.301452322883094,0.0406601812472127,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_19708,PHATRDRAFT_23913,,,
4,0.301452322883094,0.0406601812471839,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_23913,PHATRDRAFT_51245,,,
4,0.301452322883094,0.0406601812471839,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_46728,,,
4,0.301452322883067,0.0406601812472131,PHATRDRAFT_54219,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,,,
5,0.301452322883094,0.0406601812471804,PHATRDRAFT_42015,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_23913,PHATRDRAFT_16649,,
5,0.301452322883094,0.0406601812471804,PHATRDRAFT_42015,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_16649,,
6,0.301452322883094,0.0406601812471804,PHATRDRAFT_42015,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_19708,PHATRDRAFT_41886,PHATRDRAFT_39681,
6,0.301452322883066,0.0406601812472536,PHATRDRAFT_54219,Phatr3_EG02215,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_41886,PHATRDRAFT_39681,
7,0.301452322883094,0.040660181246983,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_23365
7,0.301452322883094,0.040660181246983,PHATRDRAFT_54219,PHATRDRAFT_36257,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_23365
