Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
7,0.346502239151336,0.00712626207101334,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_55192,PHATRDRAFT_49112,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_20445,
7,0.346502239151445,0.00712626207101558,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_54219,PHATRDRAFT_55035,PHATRDRAFT_40430,PHATRDRAFT_859,PHATRDRAFT_36390,
7,0.346502239151336,0.00712626207101334,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_54219,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_25572,
7,0.346502239151445,0.00712626207098719,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_42015,PHATRDRAFT_20183,PHATRDRAFT_40430,PHATRDRAFT_859,PHATRDRAFT_23365,
7,0.346502239151224,0.00712626207101103,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_20445,PHATRDRAFT_23365,PHATRDRAFT_51830,
7,0.346502239151445,0.00712626207101558,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_54219,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_40430,PHATRDRAFT_859,
7,0.346502239151445,0.00712626207101559,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_45947,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_20445,PHATRDRAFT_23365,
7,0.346502239151445,0.00712626207101558,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_55192,PHATRDRAFT_20183,PHATRDRAFT_29016,PHATRDRAFT_859,PHATRDRAFT_36390,
7,0.346502239151447,0.00712626207101502,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_42015,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_25572,PHATRDRAFT_23365,
7,0.346502239151335,0.00712626207101335,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_54219,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_20445,PHATRDRAFT_44384,
7,0.346502239151334,0.0071262620710133,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_20183,PHATRDRAFT_40430,PHATRDRAFT_19708,PHATRDRAFT_859,PHATRDRAFT_23365,
7,0.346502239151445,0.00712626207098719,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_20183,PHATRDRAFT_29016,PHATRDRAFT_859,PHATRDRAFT_23365,PHATRDRAFT_51830,
7,0.346502239151445,0.00712626207101558,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_54219,Phatr3_EG02215,PHATRDRAFT_55035,PHATRDRAFT_40430,PHATRDRAFT_859,
7,0.346502239151447,0.00712626207101563,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_42015,PHATRDRAFT_20183,PHATRDRAFT_29016,PHATRDRAFT_19708,PHATRDRAFT_859,
7,0.346502239151224,0.00712626207101104,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_55192,PHATRDRAFT_20183,PHATRDRAFT_859,Phatr3_EG02101,PHATRDRAFT_23365,
7,0.346502239151445,0.00712626207098719,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_42015,PHATRDRAFT_55035,PHATRDRAFT_29016,PHATRDRAFT_859,PHATRDRAFT_51830,
7,0.346502239151335,0.00712626207099347,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_42015,PHATRDRAFT_55035,PHATRDRAFT_19708,PHATRDRAFT_859,PHATRDRAFT_25572,
7,0.346502239151445,0.00712626207101558,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_55192,PHATRDRAFT_55035,PHATRDRAFT_29016,PHATRDRAFT_859,PHATRDRAFT_36390,
7,0.346502239151224,0.00712626207101103,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_25572,PHATRDRAFT_23365,PHATRDRAFT_51245,
8,0.346502239151445,0.00712626207101558,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_54219,Phatr3_EG02215,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_40430,PHATRDRAFT_859
8,0.346502239151335,0.00712626207101333,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_20183,PHATRDRAFT_19708,PHATRDRAFT_859,Phatr3_EG02101,PHATRDRAFT_44384,PHATRDRAFT_22019
8,0.346502239151336,0.00712626207101333,PHATRDRAFT_18572,PHATRDRAFT_22418,PHATRDRAFT_draft976,Phatr3_EG02215,PHATRDRAFT_55035,PHATRDRAFT_19708,PHATRDRAFT_859,PHATRDRAFT_25572
