Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
2,0.349243166246429,0.0507216153012633,PHATRDRAFT_23908,PHATRDRAFT_23913,,,,,,
2,0.349243166246433,0.0507216153014269,PHATRDRAFT_23908,PHATRDRAFT_42245,,,,,,
2,0.349243166246286,0.0507216153013722,PHATRDRAFT_23908,PHATRDRAFT_20310,,,,,,
4,0.353757160153361,0.0286290650111954,Phatr3_EG02215,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_42245,,,,
4,0.353757160153361,0.0286290650112022,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,PHATRDRAFT_42245,,,,
4,0.353757160153361,0.0286290650112269,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_23913,PHATRDRAFT_46728,,,,
4,0.353757160153368,0.0286290650111897,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_42245,PHATRDRAFT_44384,,,,
4,0.358978175383565,0.00307618569534479,PHATRDRAFT_54219,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_23913,,,,
4,0.358978175383455,0.00307618569535113,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_42245,PHATRDRAFT_44384,,,,
5,0.358740820628641,0.00423785581765544,PHATRDRAFT_13643,PHATRDRAFT_23908,PHATRDRAFT_42015,PHATRDRAFT_28191,PHATRDRAFT_18064,,,
5,0.358978175383452,0.00307618569535351,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_20310,Phatr3_EG02101,PHATRDRAFT_23365,,,
5,0.358978175383452,0.00307618569533887,PHATRDRAFT_20183,PHATRDRAFT_29016,PHATRDRAFT_859,PHATRDRAFT_20310,PHATRDRAFT_23365,,,
6,0.358978175383455,0.00307618569535113,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_859,PHATRDRAFT_42245,PHATRDRAFT_44384,,
6,0.358978175383564,0.00307618569534479,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_44384,PHATRDRAFT_22019,,
7,0.353757160153358,0.0286290650112216,PHATRDRAFT_55192,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_25932,PHATRDRAFT_11014,PHATRDRAFT_25572,PHATRDRAFT_36390,
8,0.353757160153194,0.0286290650110893,PHATRDRAFT_45947,PHATRDRAFT_49112,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_29016,PHATRDRAFT_25932,PHATRDRAFT_11014,PHATRDRAFT_22019
