Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
3,0.0288627202517606,0.212833170829376,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_50742,,,
3,0.0288627202521727,0.212833170825879,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_8982,,,
3,0.0625741135218934,0.204462379907399,PHATRDRAFT_48983,PHATRDRAFT_8982,PHATRDRAFT_48078,,,
3,0.0625741135216974,0.204462379906728,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_48078,,,
4,0.0288627202518175,0.212833170828566,PHATRDRAFT_30145,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,,
4,0.0288627202518175,0.212833170828566,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_41063,PHATRDRAFT_33839,,
4,0.028862720251658,0.21283317082801,PHATRDRAFT_30145,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,,
4,0.028862720251658,0.21283317082801,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_32747,PHATRDRAFT_25308,,
4,0.062574113521783,0.204462379907002,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_859,PHATRDRAFT_42245,,
4,0.0835599463167021,0.199251440766992,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_11319,,
4,0.0835599463167021,0.199251440766992,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_23723,,
4,0.0835599463167586,0.19925144076797,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_35580,,
4,0.0835599463164513,0.199251440766622,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_19979,,
4,0.0835599463164513,0.199251440766622,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_55069,,
4,0.0835599463167021,0.199251440766992,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_22803,,
4,0.0835599463164513,0.199251440766622,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_19979,,
5,0.028862720251837,0.212833170830909,PHATRDRAFT_26290,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,
5,0.0625741135219212,0.20446237990677,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_48078,
5,0.0835599463162168,0.199251440767215,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_22803,
5,0.0835599463167759,0.199251440768654,PHATRDRAFT_54478,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_8982,
6,0.028862720251658,0.21283317082801,PHATRDRAFT_30145,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_32747,PHATRDRAFT_25308
6,0.0835599463161189,0.199251440765726,PHATRDRAFT_54478,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_50742,PHATRDRAFT_19708
