Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
1,0.328809866276013,0.0502423340717121,Phatr3_EG02584,,,,
2,0.343006894592791,0.0270811329620753,PHATRDRAFT_draft521,PHATRDRAFT_31544,,,
3,0.343006894592751,0.0270811329620313,PHATRDRAFT_draft521,PHATRDRAFT_38946,PHATRDRAFT_51970,,
3,0.343006894592788,0.0270811329620593,PHATRDRAFT_draft521,PHATRDRAFT_12331,PHATRDRAFT_51970,,
3,0.343006894592736,0.0270811329620825,PHATRDRAFT_draft521,PHATRDRAFT_23913,PHATRDRAFT_12331,,
3,0.343006894592719,0.0270811329620102,PHATRDRAFT_draft521,PHATRDRAFT_35580,YP_874486_AT1,,
3,0.343006894592791,0.0270811329621327,PHATRDRAFT_draft521,PHATRDRAFT_17720,PHATRDRAFT_47293,,
3,0.343006894592792,0.0270811329620102,PHATRDRAFT_draft521,PHATRDRAFT_17720,PHATRDRAFT_12331,,
4,0.343006894592792,0.0270811329620348,PHATRDRAFT_54015,PHATRDRAFT_54478,PHATRDRAFT_5423,PHATRDRAFT_21970,
4,0.343006894592781,0.0270811329620987,PHATRDRAFT_54015,PHATRDRAFT_47293,PHATRDRAFT_21970,PHATRDRAFT_42245,
4,0.343006894592736,0.027081132961996,PHATRDRAFT_54015,PHATRDRAFT_23913,PHATRDRAFT_35691,PHATRDRAFT_21970,
4,0.343006894592793,0.0270811329620465,PHATRDRAFT_54015,PHATRDRAFT_5423,PHATRDRAFT_31436,PHATRDRAFT_28181,
4,0.343006894592795,0.0270811329618255,PHATRDRAFT_54015,PHATRDRAFT_38085,PHATRDRAFT_23723,PHATRDRAFT_21970,
4,0.343006894592795,0.0270811329618255,PHATRDRAFT_54015,PHATRDRAFT_47293,PHATRDRAFT_23723,PHATRDRAFT_21970,
4,0.343006894592786,0.0270811329620884,PHATRDRAFT_54015,PHATRDRAFT_42245,PHATRDRAFT_28181,YP_874486_AT1,
4,0.343006894592793,0.0270811329620465,PHATRDRAFT_54015,PHATRDRAFT_23723,PHATRDRAFT_28181,YP_874486_AT1,
5,0.343006894592828,0.0270811329620553,PHATRDRAFT_54015,PHATRDRAFT_25932,PHATRDRAFT_11014,PHATRDRAFT_35691,PHATRDRAFT_28181
