Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.35960670777562,0.119388682420002,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.35960670777562,0.119388682420002,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.119388682420165,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775837,0.119388682420074,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.119388682420165,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.35960670777576,0.119388682420049,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0899552395953662,PHATRDRAFT_30145,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0899552395957722,PHATRDRAFT_26290,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0899552395957722,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775732,0.0441414283263519,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_48078,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0441414283263519,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775728,0.0441414283263514,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775728,0.0441414283263514,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0441414283263518,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775732,0.0441414283263519,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_48078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775787,0.0230687915131397,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.359606707775731,0.0230687915122368,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.359606707775733,0.119388682420039,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_20310,PHATRDRAFT_31367,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.359606707775731,0.119388682420039,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_20143,PHATRDRAFT_50372,PHATRDRAFT_20310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.359606707775732,0.0567285866958671,PHATRDRAFT_54478,PHATRDRAFT_19708,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.359606707775569,0.044141428326332,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_41886,PHATRDRAFT_39681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.359606707775731,0.0441414283263518,PHATRDRAFT_45947,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_28068,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.359606707775733,0.044141428326352,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_20310,PHATRDRAFT_18064,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.359606707775731,0.0441414283263518,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_25932,PHATRDRAFT_11014,PHATRDRAFT_10693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.359606707775733,0.0230687915123897,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_19979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.359606707775733,0.25477858747606,PHATRDRAFT_34010,PHATRDRAFT_30145,PHATRDRAFT_13951,PHATRDRAFT_859,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.359606707775737,0.254778587476303,PHATRDRAFT_34010,PHATRDRAFT_30145,PHATRDRAFT_13951,PHATRDRAFT_48078,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.359606707775621,0.254778587476754,PHATRDRAFT_34010,PHATRDRAFT_26290,PHATRDRAFT_13951,PHATRDRAFT_48078,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.359606707775673,0.0569897257584695,PHATRDRAFT_34010,PHATRDRAFT_29016,PHATRDRAFT_13951,PHATRDRAFT_48078,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.359606707775728,0.0569897257584759,PHATRDRAFT_34010,PHATRDRAFT_13951,PHATRDRAFT_859,PHATRDRAFT_42245,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
