Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
2,0.359606707775815,0.0966169851045847,PHATRDRAFT_10454,PHATRDRAFT_859,,,,
2,0.359606707775731,0.0966169851045619,PHATRDRAFT_10454,PHATRDRAFT_20310,,,,
2,0.359606707775511,0.0966169851045029,PHATRDRAFT_10454,PHATRDRAFT_42245,,,,
2,0.359606707775686,0.0966169851045498,PHATRDRAFT_10454,PHATRDRAFT_48078,,,,
2,0.359606707775762,0.0966169851044469,PHATRDRAFT_10454,PHATRDRAFT_23913,,,,
2,0.359606707775729,0.0602389093547674,PHATRDRAFT_26290,PHATRDRAFT_10454,,,,
2,0.359606707775731,0.0602389093547371,PHATRDRAFT_30145,PHATRDRAFT_10454,,,,
3,0.359606707775729,0.0489198227179163,PHATRDRAFT_19708,PHATRDRAFT_10454,PHATRDRAFT_43469,,,
4,0.359606707775787,0.0596943412100287,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.359606707775732,0.0596943412100194,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_48078,,
4,0.359606707775732,0.0596943412100195,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,PHATRDRAFT_10693,,
4,0.35960670777573,0.050599822272487,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_10693,,
4,0.35960670777573,0.050599822272487,PHATRDRAFT_30145,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,
4,0.359606707775733,0.022070714163176,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_48078,,
4,0.359606707775732,0.0129761952256386,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,
4,0.359606707775731,0.0602389093544118,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_10454,PHATRDRAFT_41969,,
4,0.359606707775732,0.0129761952256386,PHATRDRAFT_26290,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,,
5,0.359606707775731,0.0410479627173573,PHATRDRAFT_29016,PHATRDRAFT_10454,PHATRDRAFT_18064,PHATRDRAFT_8945,PHATRDRAFT_41686,
5,0.359606707775766,0.0410479627173345,PHATRDRAFT_42015,PHATRDRAFT_28191,PHATRDRAFT_10454,PHATRDRAFT_18064,PHATRDRAFT_16649,
5,0.359606707775731,0.0319098300164179,PHATRDRAFT_19708,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_19979,PHATRDRAFT_10693,
6,0.359606707775733,0.0505998222724843,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_35580
