Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
2,0.359606707775727,0.0483084925522805,PHATRDRAFT_10454,PHATRDRAFT_859,,,,
2,0.359606707775732,0.048308492552281,PHATRDRAFT_10454,PHATRDRAFT_42245,,,,
2,0.359606707775767,0.0483084925522859,PHATRDRAFT_10454,PHATRDRAFT_48078,,,,
2,0.359606707775301,0.0301194546757671,PHATRDRAFT_26290,PHATRDRAFT_10454,,,,
2,0.359606707775787,0.0301194546772149,PHATRDRAFT_30145,PHATRDRAFT_10454,,,,
3,0.359606707775511,0.0489198227175171,PHATRDRAFT_19708,PHATRDRAFT_10454,PHATRDRAFT_43469,,,
3,0.359606707775731,0.048308492552281,PHATRDRAFT_55192,PHATRDRAFT_10454,PHATRDRAFT_35240,,,
4,0.359606707775732,0.0596943412100225,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_859,,
4,0.359606707775732,0.0596943412100196,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,PHATRDRAFT_10693,,
4,0.359606707775731,0.0505998222724877,PHATRDRAFT_30145,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,
4,0.359606707775731,0.05059982227249,PHATRDRAFT_26290,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,,
4,0.359606707775731,0.0220707141631759,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245,,
4,0.359606707775802,0.0220707141630733,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,,
4,0.359606707775731,0.0220707141631759,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_42245,PHATRDRAFT_10693,,
4,0.359606707775743,0.0129761952256392,PHATRDRAFT_26290,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_2215,,
4,0.359606707775731,0.0129761952256406,PHATRDRAFT_30145,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,
4,0.359606707775743,0.0129761952256392,PHATRDRAFT_26290,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_10693,,
4,0.359606707775802,0.0220707141630733,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_23913,PHATRDRAFT_10693,,
5,0.359606707775714,0.0220707141631749,PHATRDRAFT_9619,PHATRDRAFT_2215,PHATRDRAFT_25932,PHATRDRAFT_11014,PHATRDRAFT_10693,
6,0.359606707775729,0.0319098300164071,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_11319
