Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
2,0.301649050709301,0.040522633767763,PHATRDRAFT_10454,PHATRDRAFT_23913,,,,,
2,0.30164905070919,0.0405226337676534,PHATRDRAFT_10454,PHATRDRAFT_20310,,,,,
2,0.31630276746269,0.0302770988824927,PHATRDRAFT_30145,PHATRDRAFT_10454,,,,,
2,0.316302767462719,0.0302770988825109,PHATRDRAFT_26290,PHATRDRAFT_10454,,,,,
3,0.294189825469704,0.0457379490145056,PHATRDRAFT_19708,PHATRDRAFT_10454,PHATRDRAFT_43469,,,,
3,0.30164905070919,0.0405226337676535,PHATRDRAFT_10454,PHATRDRAFT_41886,PHATRDRAFT_39681,,,,
4,0.176806056980923,0.0586992448427829,PHATRDRAFT_28882,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,,,
4,0.176806056980923,0.0586992448427829,PHATRDRAFT_9619,PHATRDRAFT_50372,PHATRDRAFT_23913,PHATRDRAFT_10693,,,
4,0.21911779300539,0.055197138073185,PHATRDRAFT_45947,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_23913,,,
4,0.219117793005494,0.0551971380729497,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_46728,,,
4,0.219117793005494,0.0551971380729497,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_51245,,,
4,0.219117793005494,0.0551971380729497,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,PHATRDRAFT_51830,,,
4,0.330803198248649,0.0201387379488055,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_10454,PHATRDRAFT_18064,,,
5,0.219117793005298,0.055197138072218,PHATRDRAFT_54219,PHATRDRAFT_36257,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_23913,,
5,0.219117793005298,0.055197138072218,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_36256,PHATRDRAFT_23913,,
5,0.219117793005401,0.055197138072223,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_23365,,
5,0.330803198248642,0.0201387379487783,PHATRDRAFT_42015,PHATRDRAFT_28191,PHATRDRAFT_10454,PHATRDRAFT_18064,PHATRDRAFT_23365,,
6,0.219117793005292,0.0551971380718771,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_29016,PHATRDRAFT_20310,PHATRDRAFT_31367,PHATRDRAFT_23365,
6,0.219117793005412,0.0551971380728185,PHATRDRAFT_54219,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_36390,
6,0.219117793005441,0.0551971380734808,PHATRDRAFT_draft976,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_36390,
6,0.219117793005341,0.0551971380721527,PHATRDRAFT_42015,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_40430,PHATRDRAFT_20310,PHATRDRAFT_18064,
6,0.219117793005412,0.0551971380728185,PHATRDRAFT_54219,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_36390,
6,0.219117793005553,0.0551971380727059,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_20310,PHATRDRAFT_18064,PHATRDRAFT_25572,PHATRDRAFT_23365,
7,0.219117793005377,0.0551971380724575,PHATRDRAFT_55192,PHATRDRAFT_49112,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_29016,PHATRDRAFT_20310,PHATRDRAFT_18064
7,0.21911779300542,0.0551971380726647,PHATRDRAFT_draft976,Phatr3_EG02215,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_20143,PHATRDRAFT_20310,Phatr3_EG02101
7,0.219117793005553,0.0551971380727059,PHATRDRAFT_13643,Phatr3_EG02215,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_20310,PHATRDRAFT_18064,PHATRDRAFT_25572
