Deletion size,Max growth rate,Min production rate,Deleted genes,
1,0.194595622153364,0.623703293454134,TM0066,
1,0.225123986102989,0.0396736000706799,TM1744,
1,0.225123986103018,0.0396736000708638,TM1662,
1,0.225123986102962,0.0396736000708583,TM0913,
1,0.225124024972621,0.0396736069209277,TM0167,
1,0.225124024972678,0.0396736069209384,TM1559,
1,0.194595622153364,0.623703293454087,TM0428,
2,0.225123986103018,0.0396736000708627,TM0936,TM1384
2,0.225123986102961,0.0396736000708584,TM1384,TM0206
2,0.225123986103018,0.0396736000708638,TM1737,TM1596
