Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.502186144920238,0.962426438813919,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b0516,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.502179464099012,0.962413635189553,b4382,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b3617,b2407,b1982,b0261,b2406,b0112,b2868,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.502179464099019,0.962413635189857,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b3617,b2407,b1982,b0261,b4381,b2406,b0112,b2868,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.474339828379743,0.909059711093916,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2779,b2407,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.455408939817781,0.872779164804387,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2407,b1779,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.455408939817787,0.872779164786618,b4382,b1241,b0351,b4069,b4384,b3752,b2297,b2458,b2926,b2407,b1982,b3616,b3589,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.455408939817801,0.872779164781662,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b2926,b3617,b0160,b1982,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.502179464098985,0.962413635191095,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b0160,b1982,b1623,b3665,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.521023528488713,0.512790488365663,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b0160,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b2868,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.521037146431191,0.511352802652072,b4382,b1241,b0351,b4069,b4384,b2744,b3752,b3115,b1849,b2296,b3617,b2407,b1982,b0261,b0411,b0505,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.49406365130956,0.486256622183826,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b2779,b3617,b0160,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.469525356121143,0.462106072994189,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b2926,b1982,b3616,b3589,b0675,b2361,b2291,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.469525356121066,0.462106072920477,b1241,b0351,b4069,b4384,b2744,b2297,b2458,b0030,b2407,b1779,b1982,b3616,b3589,b0261,b0411,b4381,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.502187106004028,0.962428280693575,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2407,b3124,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,
23,0.530158533493348,0.861709342254869,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b0871,b3617,b0030,b2407,b1982,b0261,b4381,b2406,b0112,b2868,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,
23,0.500412251800498,0.813360316045593,b4269,b0493,b3588,b3003,b3011,b1241,b0351,b4384,b3752,b0871,b2779,b3617,b2407,b1982,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,
23,0.49406365130956,0.486256622190473,b3399,b4382,b1241,b0351,b4069,b2502,b4384,b2744,b2297,b2458,b2779,b1982,b3616,b3589,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,
