Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.664450461037171,1.68445098499373,b0871,b2779,b2925,b2097,b0907,b3946,b0825,b1493,b3517,b0726,b4381,b2789,b3127,b0114,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.497886415318303,0.291891458273804,b3403,b1479,b2925,b2097,b1850,b3124,b0907,b2690,b2463,b1302,b2662,b0331,b0726,b3945,b2789,b3127,b0114,b0755,b3612,b2285,b3893,b1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.546067905823752,0.291052491583113,b3403,b1479,b2925,b2097,b1850,b3124,b1779,b2690,b2463,b1493,b3517,b2904,b0726,b3945,b2789,b3127,b1444,b0334,b2492,b0904,b0514,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.444076881197543,0.22599605372028,b0469,b0238,b0125,b0474,b1241,b0351,b3831,b4069,b2297,b2458,b2779,b3617,b0517,b0907,b1779,b0477,b2498,b2789,b3127,b0114,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.409956419009588,4.89277420573817,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b3124,b2797,b3117,b1814,b4471,b3946,b0825,b4381,b2789,b3127,b0114,b2366,b0755,b3612,b2492,b0904,b1533,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.409790267012172,4.894844122828,b3399,b2066,b2744,b3708,b3008,b0871,b2779,b2925,b2097,b0160,b2690,b2797,b3117,b1814,b4471,b2498,b2361,b2291,b3945,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.642527682687343,1.62155210262051,b1241,b0351,b4069,b4384,b2744,b3708,b0871,b2297,b2458,b2779,b2925,b2097,b2407,b2797,b3117,b1814,b4471,b3946,b0825,b2789,b3127,b2868,b0114,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.496733690480123,0.0791558798579678,b0469,b4069,b4384,b2744,b3708,b2297,b2458,b2779,b2926,b2407,b0517,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b2789,b3127,b0452,b0114,b1539,b2492,b0904,b1533,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.427868269446857,0.32046862732799,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b2779,b3617,b0160,b0517,b1779,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b2913,b2789,b3127,b0114,b2366,b2492,b0904,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.525294560048657,0.392970233974768,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0114,b2366,b2492,b0904,b1533,b3821,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.52529456004865,0.39297023388668,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3821,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.523071683397984,0.391296771100082,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.524372713739709,0.356665901817815,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0452,b0114,b2366,b2492,b0904,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.466462214680115,0.348948651270206,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b3617,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.46755098196687,0.318017105484873,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b2926,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0452,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.466462214680115,0.348948651270206,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b2926,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.660667914825102,1.76919629229051,b3399,b2744,b3708,b3008,b2930,b4232,b3697,b3925,b0871,b3124,b2690,b2797,b3117,b1814,b4471,b0675,b0822,b0726,b4381,b2789,b3127,b1727,b0114,b2366,b0755,b3612,b2492,b0904,b1533,b1912,b0515,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.524372713739709,0.356665901769463,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b3617,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0452,b0114,b2366,b2492,b0904,b1533,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.468322227687559,0.350349516914187,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b2779,b3617,b0030,b2407,b1238,b1779,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0112,b2789,b3127,b0114,b2366,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.468322227687629,0.350349516915538,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b3115,b1849,b2296,b2779,b2926,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.466462214680068,0.348948651240094,b2836,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2779,b2407,b1779,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.525294560048664,0.392970233891599,b4382,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b0030,b2407,b3124,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b0261,b2406,b0112,b2789,b3127,b0114,b1539,b2492,b0904,b1533,b3821,b0514,b3662,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.524372713739704,0.356665901779808,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b1238,b3124,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0112,b2789,b3127,b0452,b0114,b1539,b2492,b0904,b1533,b0514,,,,,,,,,,,,,,,,,,,,,,,,,
