Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.766805862824016,0.0200642421824495,b2744,b0871,b2925,b2097,b2883,b2690,b0726,b3945,b4381,b2943,b2868,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.653452742605179,0.0170982444668854,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b2883,b0261,b4381,b2868,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.653423068440468,0.0170974679807656,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b2883,b4381,b2868,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.653423068440468,0.0170974679807656,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b2883,b4381,b2868,b0114,b0529,b2492,b0904,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.653452742605125,0.0170982444600038,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b2883,b0261,b4381,b2868,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.653423068440468,0.0170974679291859,b1241,b0351,b4069,b2744,b2297,b2458,b2883,b3616,b3589,b4381,b2868,b0114,b0529,b2492,b0904,b1511,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.794652049378459,0.173888163837845,b0238,b0125,b3831,b4384,b0871,b2925,b2097,b2883,b2690,b0477,b2498,b3945,b2868,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.79465204937846,0.173888163848362,b4382,b0238,b0125,b4384,b2930,b4232,b3697,b3925,b0871,b2883,b0477,b3946,b0825,b2868,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,
18,0.794652049378459,0.173888163841234,b4382,b0238,b0125,b4384,b0512,b0871,b2925,b2097,b2883,b0477,b3946,b0825,b1623,b0511,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,
18,0.794652049378459,0.173888163841234,b4382,b0238,b0125,b4384,b0871,b2925,b2097,b2883,b0477,b3946,b0825,b1623,b0511,b0114,b0529,b2492,b0904,b0516,,,,,,,,,,,,,,,,,,,,,,,,
18,0.797959368344387,0.0208794047578352,b2744,b3708,b3008,b0871,b2883,b2797,b3117,b1814,b4471,b4381,b2868,b0114,b2366,b2492,b0904,b1533,b3821,b1511,,,,,,,,,,,,,,,,,,,,,,,,
19,0.643912365317796,1.21762379477923,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b2883,b1982,b3616,b3589,b0675,b2361,b4381,b0114,b0529,b2492,b0904,b1517,,,,,,,,,,,,,,,,,,,,,,,
19,0.64394233927059,1.21753623176845,b3399,b1241,b0351,b4069,b2744,b3115,b1849,b2296,b3617,b2883,b1982,b0675,b2361,b0261,b4381,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,
19,0.775298000640738,0.0202864475090399,b4069,b2744,b3708,b2297,b2458,b2883,b2797,b3117,b1814,b4471,b4381,b2868,b0114,b2366,b2492,b0904,b1533,b3821,b1511,,,,,,,,,,,,,,,,,,,,,,,
