Deletion size,Max growth rate,Min production rate,Deleted genes,,,,
3,0.254615051231651,0.281038619326024,b2914,b4090,b3546,,
3,0.25461505123119,0.281038619324618,b2914,b4090,b4042,,
3,0.254615051231426,0.281038619325597,b1054,b2914,b4090,,
3,0.245101590406423,0.270537866214275,b2914,b4090,b2285,,
4,0.252251525100548,0.278486062088615,b0907,b0529,b2914,b4090,
4,0.252287072821422,0.27846904680841,b2913,b0529,b2914,b4090,
4,0.252054362657852,0.278212186829121,b2066,b0910,b2914,b4090,
4,0.250978186433753,0.27708029415274,b0910,b0907,b2914,b4090,
4,0.251013730165349,0.277063558487921,b0910,b2913,b2914,b4090,
4,0.220814083571536,0.243729837043766,b0910,b2926,b2914,b4090,
4,0.220814083571536,0.243729837043766,b0910,b1779,b2914,b4090,
5,0.216130901415617,0.238608839040346,b2779,b0907,b1852,b2914,b4090
5,0.211262628220107,0.233234258637976,b2779,b1850,b0907,b2914,b4090
