Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
3,0.274485191515382,0.327924715037893,YLR027C,YHR208W,YGR244C,,,,,,,,,
3,0.274485191501516,0.327924711548888,YLR027C,YDR148C,YHR208W,,,,,,,,,
4,0.274460808104677,0.32789557717334,YLR027C,YHR208W,YJL045W,YKL148C,,,,,,,,
6,0.27023712387664,0.0223783297400956,YPL061W,YLR027C,YDR148C,YOR120W,YJL121C,YBR006W,,,,,,
7,0.270237123848885,0.0223783296538026,YPL061W,YLR027C,YDR148C,YIL053W,YER062C,YMR250W,YJL121C,,,,,
7,0.270237123897457,0.0223783353101944,YPL061W,YLR027C,YIL053W,YER062C,YGR244C,YJL121C,YBR006W,,,,,
7,0.270075284922244,0.0223649218675792,YPL061W,YGR019W,YLR027C,YOR120W,YJL121C,YJL045W,YKL148C,,,,,
7,0.270237123876642,0.0223783166945417,YPL061W,YFL053W,YML070W,YLR027C,YDR148C,YMR250W,YJL121C,,,,,
8,0.270075284922242,0.0223649154244909,YPL061W,YFL053W,YML070W,YLR027C,YMR250W,YJL121C,YJL045W,YKL148C,,,,
10,0.134727509649039,0.0111568292987462,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YDR148C,YOR120W,YMR250W,YJL121C,YLR348C,,
11,0.134727509610874,0.0111568012007334,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YDR148C,YIL053W,YER062C,YMR250W,YJL121C,YLR348C,
12,0.1347275096421,0.0111567830995812,YGR087C,YLR044C,YLR134W,YDR380W,YDL080C,YIL053W,YER062C,YMR250W,YJL121C,YLR348C,YJL045W,YKL148C
12,0.152697259894481,0.312421973474626,YOL086C,YDL168W,YMR303C,YGL256W,YBR145W,YGR087C,YLR044C,YLR134W,YDR148C,YOR375C,YAL062W,YLR348C
