Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
1,0.0520887351419653,0.0315859828292005,Rv3356c,,,,,,,,,,,
4,0.0396123301295447,0.243979012471031,Rv2476c,Rv1902c,Rv1240,Rv0084,,,,,,,,
4,0.0373133992543031,0.280449540313491,Rv2476c,Rv1902c,Rv0211,Rv0084,,,,,,,,
4,0.0376400706896253,0.183549022847471,Rv0211,Rv2920c,Rv0694,Rv0084,,,,,,,,
4,0.036300102712054,0.272833577020042,Rv1902c,Rv0211,Rv2920c,Rv0084,,,,,,,,
4,0.0385784165995221,0.0702767610231802,Rv2476c,Rv0211,Rv0694,Rv0084,,,,,,,,
4,0.0385810883569394,0.34115621116303,Rv1902c,Rv1240,Rv2920c,Rv0084,,,,,,,,
4,0.0385810883569396,0.341156160405949,Rv1240,Rv2920c,Rv0694,Rv0084,,,,,,,,
4,0.0396123302110764,0.243979804222477,Rv2476c,Rv1240,Rv0694,Rv0084,,,,,,,,
5,0.0389794811760145,0.0323933422388957,Rv2443,Rv2476c,Rv1098c,Rv0694,Rv0084,,,,,,,
5,0.0377836899005467,0.283984268896897,Rv2443,Rv2476c,Rv1902c,Rv1098c,Rv0084,,,,,,,
5,0.038021765911568,0.147745186237579,Rv2443,Rv1098c,Rv2920c,Rv0694,Rv0084,,,,,,,
7,0.0453265439861996,0.150377230552961,Rv2495c,Rv2215,Rv1902c,Rv0162c,Rv0211,Rv0084,Rv2899c,,,,,
7,0.0433595888543034,0.268714846577495,Rv2495c,Rv2215,Rv0753c,Rv0162c,Rv0694,Rv0084,Rv2899c,,,,,
7,0.04335958893757,0.268714795878547,Rv2495c,Rv2215,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,,,
7,0.0434035134146278,0.244167772121727,Rv2495c,Rv2215,Rv0694,Rv3601c,Rv0084,Rv2899c,Rv3535c,,,,,
7,0.0453265439861994,0.150376847828738,Rv2495c,Rv2215,Rv0162c,Rv0211,Rv0694,Rv0084,Rv2899c,,,,,
7,0.0367755866293761,0.076379286008887,Rv3303c,Rv1826,Rv1902c,Rv1240,Rv2920c,Rv0694,Rv1475c,,,,,
7,0.043403513419832,0.244167858967558,Rv2495c,Rv2215,Rv0753c,Rv0694,Rv0084,Rv2899c,Rv3535c,,,,,
7,0.0433595889098145,0.268714800477028,Rv2495c,Rv2215,Rv0162c,Rv0694,Rv3601c,Rv0084,Rv2899c,,,,,
7,0.043403513419832,0.244167781864349,Rv2495c,Rv2215,Rv1902c,Rv3601c,Rv0084,Rv2899c,Rv3535c,,,,,
7,0.0434035134562611,0.244167498405274,Rv2495c,Rv2215,Rv0753c,Rv1902c,Rv0084,Rv2899c,Rv3535c,,,,,
7,0.045326543996608,0.150377219202186,Rv2495c,Rv2215,Rv0211,Rv0694,Rv0084,Rv2899c,Rv3535c,,,,,
7,0.04335958893757,0.268714851039366,Rv2495c,Rv2215,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,,,
7,0.0362799462782879,0.0753499623699694,Rv1826,Rv1902c,Rv1832,Rv0211,Rv2920c,Rv0694,Rv1475c,,,,,
7,0.0453265439861996,0.15037719201949,Rv2495c,Rv2215,Rv1902c,Rv0211,Rv0084,Rv2899c,Rv3535c,,,,,
7,0.0362799462782879,0.0753499616714801,Rv3303c,Rv1826,Rv1902c,Rv0211,Rv2920c,Rv0694,Rv1475c,,,,,
8,0.04335958893757,0.26871488305358,Rv3303c,Rv0843,Rv0462,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,,
8,0.043403513419832,0.244167858967558,Rv0843,Rv0462,Rv2496c,Rv0753c,Rv0694,Rv0084,Rv2899c,Rv3535c,,,,
8,0.0362799462782881,0.0753500862436595,Rv1826,Rv1902c,Rv2211c,Rv0211,Rv2920c,Rv0694,Rv1915,Rv0467,,,,
8,0.0434035134146278,0.244167772121727,Rv0843,Rv0462,Rv2496c,Rv0694,Rv3601c,Rv0084,Rv2899c,Rv3535c,,,,
8,0.0433595889098145,0.268714800477028,Rv0843,Rv0462,Rv2496c,Rv0162c,Rv0694,Rv3601c,Rv0084,Rv2899c,,,,
8,0.04335958893757,0.268714851039366,Rv0843,Rv0462,Rv2495c,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,,
8,0.0433724259979987,0.261540683962262,Rv2495c,Rv2215,Rv0162c,Rv1240,Rv0211,Rv3601c,Rv0084,Rv2899c,,,,
8,0.043403513419832,0.244167781864349,Rv0843,Rv0462,Rv2495c,Rv1902c,Rv3601c,Rv0084,Rv2899c,Rv3535c,,,,
8,0.0423073897252643,0.317984673587159,Rv2495c,Rv2215,Rv2332,Rv0162c,Rv0211,Rv3601c,Rv0084,Rv2899c,,,,
8,0.0433595888543034,0.268714846577495,Rv0843,Rv0462,Rv2496c,Rv0753c,Rv0162c,Rv0694,Rv0084,Rv2899c,,,,
8,0.04335958893757,0.268714851039366,Rv0843,Rv0462,Rv2496c,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,,
8,0.04335958893757,0.268714795878547,Rv0843,Rv0462,Rv2496c,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,,
8,0.0367755866293761,0.0763793694786727,Rv2443,Rv1826,Rv1902c,Rv1832,Rv1098c,Rv0191,Rv2920c,Rv1475c,,,,
8,0.045326543996608,0.150377219202186,Rv0843,Rv0462,Rv2495c,Rv0211,Rv0694,Rv0084,Rv2899c,Rv3535c,,,,
8,0.0367755866293761,0.0763789175543934,Rv2443,Rv1826,Rv1902c,Rv1832,Rv1098c,Rv2920c,Rv0694,Rv1475c,,,,
8,0.0434035134562611,0.244167498405274,Rv0843,Rv0462,Rv2496c,Rv0753c,Rv1902c,Rv0084,Rv2899c,Rv3535c,,,,
