Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
5,0.0349574307562008,0.0124365289791735,Rv1902c,Rv0211,Rv2920c,Rv0694,Rv0084,,,,,,,
5,0.0368929976572322,0.0383115786918654,Rv1902c,Rv1240,Rv2920c,Rv0694,Rv1475c,,,,,,,
5,0.0362683777763805,0.0301247830370356,Rv3356c,Rv1902c,Rv1240,Rv2920c,Rv1475c,,,,,,,
5,0.0363942089191342,0.037793076498469,Rv1902c,Rv0211,Rv1837c,Rv0191,Rv2920c,,,,,,,
5,0.0368929976086605,0.038311920242785,Rv1902c,Rv1240,Rv0191,Rv2920c,Rv1475c,,,,,,,
5,0.0363942089052567,0.0377940421694757,Rv1902c,Rv0211,Rv1837c,Rv2920c,Rv0694,,,,,,,
5,0.0363942089052563,0.0377937404948391,Rv1902c,Rv0211,Rv0191,Rv2920c,Rv1475c,,,,,,,
5,0.0362011029336755,0.113540063952278,Rv3356c,Rv1902c,Rv0211,Rv2920c,Rv1475c,,,,,,,
5,0.0349574307423232,0.0124374307370797,Rv1902c,Rv0211,Rv0191,Rv2920c,Rv0084,,,,,,,
5,0.0363942089052564,0.0377937615462426,Rv1902c,Rv0211,Rv2920c,Rv0694,Rv1475c,,,,,,,
6,0.0368929976502931,0.0383115935871849,Rv2443,Rv1902c,Rv1098c,Rv0191,Rv2920c,Rv1475c,,,,,,
6,0.0362657072331488,0.126591838777108,Rv3356c,Rv1902c,Rv0118c,Rv0211,Rv1837c,Rv2920c,,,,,,
6,0.0362309296869316,0.0376240047380459,Rv1902c,Rv1240,Rv1098c,Rv0211,Rv2920c,Rv0694,,,,,,
6,0.0362683777763801,0.0301248518778767,Rv2443,Rv3356c,Rv1902c,Rv1098c,Rv2920c,Rv1475c,,,,,,
6,0.0357370780921076,0.0516573789417859,Rv3356c,Rv1902c,Rv1240,Rv1098c,Rv0211,Rv2920c,,,,,,
6,0.0357370783696632,0.0516573564534307,Rv3356c,Rv1902c,Rv1098c,Rv0211,Rv1837c,Rv2920c,,,,,,
6,0.0363942089052567,0.037793717633812,Rv1902c,Rv0211,Rv0191,Rv2920c,Rv1915,Rv0467,,,,,,
7,0.0359087272464753,0.090647567805029,Rv2697c,Rv2967c,Rv1902c,Rv1240,Rv0211,Rv0191,Rv2920c,,,,,
7,0.0358182434902353,0.0119582552408696,Rv3356c,Rv2476c,Rv1902c,Rv0211,Rv2202c,Rv2930,Rv1475c,,,,,
7,0.0359087273574974,0.0906475497653052,Rv2697c,Rv2967c,Rv1902c,Rv1240,Rv0211,Rv2920c,Rv0694,,,,,
8,0.028061940150799,0.351004543986261,Rv2495c,Rv2215,Rv3356c,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,,
8,0.0280619401646773,0.351004822682344,Rv2495c,Rv2215,Rv3356c,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,,
8,0.0394402190826761,0.292211328891461,Rv2495c,Rv2215,Rv2476c,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,,
8,0.0394402190826761,0.292211251123334,Rv2495c,Rv2215,Rv2476c,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,,
8,0.039087026116444,0.334370125204539,Rv2495c,Rv2215,Rv0753c,Rv1902c,Rv0162c,Rv2920c,Rv0084,Rv2899c,,,,
8,0.0390870261164439,0.334370236891153,Rv2495c,Rv2215,Rv1902c,Rv0162c,Rv2920c,Rv3601c,Rv0084,Rv2899c,,,,
8,0.0362683777763805,0.0301247830370356,Rv3356c,Rv1902c,Rv1240,Rv2920c,Rv1915,Rv0467,Rv3339c,Rv0066c,,,,
8,0.0362683777763801,0.0301250239790841,Rv3356c,Rv1902c,Rv1240,Rv0118c,Rv1837c,Rv2920c,Rv3339c,Rv0066c,,,,
9,0.0280619401646773,0.351004822682344,Rv0843,Rv0462,Rv2495c,Rv3356c,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,
9,0.0283963083848501,0.585284167205174,Rv2495c,Rv2215,Rv3356c,Rv1902c,Rv0162c,Rv0211,Rv2920c,Rv0084,Rv2899c,,,
9,0.0280619401646773,0.351004822682344,Rv0843,Rv0462,Rv2496c,Rv3356c,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,
9,0.028061940150799,0.351004543986261,Rv0843,Rv0462,Rv2495c,Rv3356c,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,
9,0.0394402190826761,0.292211294923889,Rv3303c,Rv0843,Rv0462,Rv2476c,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,
9,0.0394402190826761,0.292211328891461,Rv0843,Rv0462,Rv2495c,Rv2476c,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,
9,0.028061940164676,0.351004116180662,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,
9,0.0351884643912117,0.00136519188752271,Rv2697c,Rv2967c,Rv3356c,Rv2476c,Rv1902c,Rv1240,Rv0211,Rv2584c,Rv2202c,,,
9,0.028061940150799,0.351004543986261,Rv0843,Rv0462,Rv2496c,Rv3356c,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,
9,0.0394402190826761,0.292211251123334,Rv0843,Rv0462,Rv2495c,Rv2476c,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,
9,0.028061940150799,0.351004274437267,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv1902c,Rv0162c,Rv3601c,Rv0084,Rv2899c,,,
9,0.0289600514704862,0.520626817872591,Rv2495c,Rv2215,Rv3356c,Rv2476c,Rv1902c,Rv0162c,Rv0211,Rv0084,Rv2899c,,,
9,0.0394402190826761,0.292211261600715,Rv3303c,Rv0843,Rv0462,Rv2476c,Rv0753c,Rv1902c,Rv0162c,Rv0084,Rv2899c,,,
9,0.0289600509986418,0.52062530012456,Rv2495c,Rv2215,Rv3356c,Rv2476c,Rv1902c,Rv0211,Rv0084,Rv2899c,Rv3535c,,,
9,0.039087026116444,0.334370125204539,Rv0843,Rv0462,Rv2496c,Rv0753c,Rv1902c,Rv0162c,Rv2920c,Rv0084,Rv2899c,,,
9,0.039087026116444,0.334370125204539,Rv0843,Rv0462,Rv2495c,Rv0753c,Rv1902c,Rv0162c,Rv2920c,Rv0084,Rv2899c,,,
9,0.0390870261164439,0.334370236891153,Rv0843,Rv0462,Rv2496c,Rv1902c,Rv0162c,Rv2920c,Rv3601c,Rv0084,Rv2899c,,,
9,0.0390870261164439,0.334370236891153,Rv0843,Rv0462,Rv2495c,Rv1902c,Rv0162c,Rv2920c,Rv3601c,Rv0084,Rv2899c,,,
9,0.0351884643912117,0.00136517721319429,Rv2697c,Rv2967c,Rv3356c,Rv2476c,Rv1902c,Rv1240,Rv3307,Rv0211,Rv2202c,,,
