Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
6,0.0495110314445432,0.00892678770505384,Rv2443,Rv1188,Rv1098c,Rv0694,Rv3150,Rv0859,,,
7,0.0511942800827837,0.00923027451053072,Rv2443,Rv1188,Rv1712,Rv1098c,Rv1872c,Rv3150,Rv0859,,
7,0.0477108185712788,0.00860236624174604,Rv2443,Rv1188,Rv1098c,Rv1872c,Rv2920c,Rv3150,Rv0859,,
7,0.0495110314566867,0.00892654710236515,Rv2443,Rv2332,Rv1240,Rv1188,Rv0694,Rv3150,Rv0859,,
7,0.0495110314983208,0.0089267008683922,Rv2443,Rv1902c,Rv1188,Rv1098c,Rv1872c,Rv3150,Rv0859,,
8,0.0511942800827833,0.00923031298739415,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1712,Rv1098c,Rv0859,
8,0.0477108186545455,0.00860222035282761,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1098c,Rv2920c,Rv0859,
8,0.0511942800689068,0.00923027397411121,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv1872c,Rv3150,Rv0859,
8,0.0495110314566873,0.00892649424665322,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1902c,Rv1188,Rv1098c,Rv0859,
8,0.0477108186267898,0.00860213203365625,Rv2443,Rv2332,Rv1240,Rv1188,Rv1872c,Rv2920c,Rv3150,Rv0859,
8,0.0495110314428088,0.00892687880417116,Rv2443,Rv1902c,Rv2332,Rv1240,Rv1188,Rv1872c,Rv3150,Rv0859,
8,0.0495110314410746,0.00892659699636284,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv1188,Rv1098c,Rv0694,Rv0859,
9,0.0511942800550285,0.00923031810791492,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv1712,Rv0859
9,0.047710818571279,0.00860221598607798,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv2920c,Rv0859
9,0.0495110314150535,0.00892676591589754,Rv3319,Rv0247c,Rv0248c,Rv2443,Rv2332,Rv1240,Rv1188,Rv0694,Rv0859
