Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
1,0.0463781907068362,0.168555205143144,Rv1311,,,,,,,,,
2,0.0512082180544634,0.415877124812463,Rv1098c,Rv0694,,,,,,,,
2,0.0512082180405857,0.415877056284205,Rv1902c,Rv1098c,,,,,,,,
3,0.0482415481572709,0.143758878648455,Rv1902c,Rv0211,Rv1837c,,,,,,,
3,0.0482415481850266,0.143759050014266,Rv0211,Rv1837c,Rv0694,,,,,,,
3,0.051208218068341,0.415877106988872,Rv1902c,Rv1240,Rv1837c,,,,,,,
3,0.0511804217088215,0.420536752667251,Rv1188,Rv0694,Rv3150,,,,,,,
3,0.051208218068341,0.415877154847593,Rv1240,Rv1837c,Rv0694,,,,,,,
4,0.0501811544101957,0.00285473765999811,Rv0118c,Rv0211,Rv1837c,Rv0409,,,,,,
4,0.0501811544101957,0.00285473765999811,Rv0408,Rv0118c,Rv0211,Rv1837c,,,,,,
4,0.051180421708822,0.420536585706744,Rv1902c,Rv1188,Rv1872c,Rv3150,,,,,,
4,0.0420880406472748,1.0621250579082,Rv3777,Rv1188,Rv1872c,Rv3150,,,,,,
5,0.0505284862054007,0.00287450604665163,Rv0118c,Rv1837c,Rv3339c,Rv0066c,Rv0409,,,,,
5,0.0505284862054007,0.0028745097936821,Rv0408,Rv0118c,Rv1837c,Rv3339c,Rv0066c,,,,,
7,0.0505284862192786,0.00287447695814856,Rv2332,Rv1240,Rv0408,Rv1098c,Rv0118c,Rv3339c,Rv0066c,,,
7,0.0505284862192786,0.00287447695814856,Rv2332,Rv1240,Rv1098c,Rv0118c,Rv3339c,Rv0066c,Rv0409,,,
9,0.0505014226983682,0.00287298532831945,Rv2332,Rv1240,Rv1188,Rv0118c,Rv1872c,Rv3150,Rv3339c,Rv0066c,Rv0409,
9,0.0505014226983682,0.00287298532831945,Rv2332,Rv1240,Rv0408,Rv1188,Rv0118c,Rv1872c,Rv3150,Rv3339c,Rv0066c,
10,0.0505014226844903,0.00287297367293949,Rv3319,Rv0247c,Rv0248c,Rv2332,Rv1240,Rv0408,Rv1188,Rv0118c,Rv3339c,Rv0066c
