Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,
2,0.0398867392697317,0.0241868399316446,Rv3356c,Rv2945c,,,,,,
3,0.0208815834788109,0.00278026140813242,Rv3356c,Rv1236,Rv2920c,,,,,
3,0.0412128796885931,0.0150730543397639,Rv3356c,Rv1098c,Rv2930,,,,,
4,0.0219677157905075,0.00173680782855529,Rv1448c,Rv3010c,Rv3356c,Rv2920c,,,,
4,0.0207428073240892,0.00501779920036949,Rv3356c,Rv2476c,Rv1236,Rv2780,,,,
4,0.0407279660431836,0.0154896057848941,Rv1448c,Rv1445c,Rv3356c,Rv1098c,,,,
4,0.0412128797458401,0.0150711474345987,Rv3356c,Rv2332,Rv1240,Rv2930,,,,
5,0.0219373714419862,0.002098748094291,Rv3010c,Rv3356c,Rv1121,Rv1447c,Rv2920c,,,
5,0.021835897666167,0.00413369024630039,Rv1448c,Rv3010c,Rv3356c,Rv2476c,Rv2780,,,
5,0.0407279660431836,0.0154896057848941,Rv1448c,Rv3356c,Rv1121,Rv1447c,Rv1098c,,,
5,0.0219373714419862,0.002098748094291,Rv1122,Rv1844c,Rv3010c,Rv3356c,Rv2920c,,,
6,0.0191044703431035,0.0115847606590918,Rv1448c,Rv3356c,Rv1236,Rv1121,Rv1447c,Rv0084,,
6,0.0218102551679412,0.00443846441212453,Rv1122,Rv1844c,Rv3010c,Rv3356c,Rv2476c,Rv2780,,
7,0.0337933262481961,0.0204918719851702,Rv2495c,Rv2215,Rv3356c,Rv0753c,Rv0084,Rv2899c,Rv3535c,
7,0.0337933265352921,0.020491872032413,Rv2495c,Rv2215,Rv3356c,Rv0162c,Rv3601c,Rv0084,Rv2899c,
7,0.0337933265075365,0.0204918695928662,Rv2495c,Rv2215,Rv3356c,Rv3601c,Rv0084,Rv2899c,Rv3535c,
7,0.0185197846275899,0.00317077772450173,Rv1448c,Rv3010c,Rv2443,Rv3356c,Rv1098c,Rv2920c,Rv1475c,
7,0.035989397334613,0.0191183452363597,Rv2495c,Rv2215,Rv3356c,Rv0211,Rv0084,Rv2899c,Rv3535c,
7,0.0337933262481961,0.0204918672276467,Rv2495c,Rv2215,Rv3356c,Rv0753c,Rv0162c,Rv0084,Rv2899c,
8,0.0359893972409384,0.0191183288649312,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv0162c,Rv0211,Rv0084,Rv2899c
8,0.0337933262488466,0.0204918665274619,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv0753c,Rv0084,Rv2899c,Rv3535c
8,0.035989397334613,0.0191183452363597,Rv0843,Rv0462,Rv2495c,Rv3356c,Rv0211,Rv0084,Rv2899c,Rv3535c
8,0.0185197846189164,0.0031707753747176,Rv1448c,Rv3010c,Rv2443,Rv3356c,Rv2332,Rv1240,Rv2920c,Rv1475c
8,0.0337933262481961,0.0204918672276467,Rv0843,Rv0462,Rv2496c,Rv3356c,Rv0753c,Rv0162c,Rv0084,Rv2899c
8,0.035989397334613,0.019118339714142,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv0211,Rv0084,Rv2899c,Rv3535c
8,0.0337933265352921,0.0204918716324477,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv0162c,Rv3601c,Rv0084,Rv2899c
8,0.0337933266185589,0.020491867690865,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv0753c,Rv0162c,Rv0084,Rv2899c
8,0.0337933266012115,0.0204918710949015,Rv3303c,Rv0843,Rv0462,Rv3356c,Rv3601c,Rv0084,Rv2899c,Rv3535c
8,0.0337933265352921,0.020491872032413,Rv0843,Rv0462,Rv2495c,Rv3356c,Rv0162c,Rv3601c,Rv0084,Rv2899c
