Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
5,0.0410423037800291,0.0248875297981138,Rv1448c,Rv1445c,Rv1200,Rv3356c,Rv2930,,,,,
6,0.0410423037800291,0.0248875297981138,Rv1448c,Rv1200,Rv3356c,Rv1121,Rv1447c,Rv2930,,,,
6,0.0410423037800291,0.0248875297981138,Rv1122,Rv1844c,Rv1448c,Rv1200,Rv3356c,Rv2930,,,,
6,0.0199620942264237,0.0121048567423078,Rv1448c,Rv1445c,Rv1200,Rv3356c,Rv1236,Rv2920c,,,,
6,0.021092689490689,0.0127898426407997,Rv1448c,Rv1445c,Rv3010c,Rv1200,Rv3356c,Rv2920c,,,,
7,0.021092689490689,0.0127898426407997,Rv1448c,Rv3010c,Rv1200,Rv3356c,Rv1121,Rv1447c,Rv2920c,,,
7,0.0198325178058775,0.0120265063179395,Rv1448c,Rv1445c,Rv1200,Rv3356c,Rv2476c,Rv1236,Rv2780,,,
7,0.0199620942264237,0.0121048567423078,Rv1122,Rv1844c,Rv1448c,Rv1200,Rv3356c,Rv1236,Rv2920c,,,
7,0.0209480729740484,0.0127018801470634,Rv1448c,Rv1445c,Rv3010c,Rv1200,Rv3356c,Rv2476c,Rv2780,,,
7,0.021092689490689,0.0127898426407997,Rv1122,Rv1844c,Rv1448c,Rv3010c,Rv1200,Rv3356c,Rv2920c,,,
7,0.0199620942264237,0.0121048567423078,Rv1448c,Rv1200,Rv3356c,Rv1236,Rv1121,Rv1447c,Rv2920c,,,
7,0.0397559194789497,0.00947794699034321,Rv1448c,Rv1445c,Rv1200,Rv0211,Rv2920c,Rv0694,Rv2930,,,
8,0.0211622602110598,0.0128327930396722,Rv1448c,Rv3010c,Rv1200,Rv3356c,Rv2332,Rv1121,Rv1447c,Rv0211,,
8,0.0397559194234386,0.00947801181437047,Rv1122,Rv1844c,Rv1448c,Rv1200,Rv1902c,Rv0211,Rv2920c,Rv2930,,
8,0.019756103846604,0.0078656153340478,Rv1448c,Rv1445c,Rv3356c,Rv1236,Rv0118c,Rv1837c,Rv2920c,Rv2930,,
8,0.0397559194789497,0.00947794699034321,Rv1122,Rv1844c,Rv1448c,Rv1200,Rv0211,Rv2920c,Rv0694,Rv2930,,
8,0.0209480729740484,0.0127018801470634,Rv1448c,Rv3010c,Rv1200,Rv3356c,Rv2476c,Rv1121,Rv1447c,Rv2780,,
8,0.0199708836999218,0.012110119164864,Rv1448c,Rv1445c,Rv3356c,Rv1236,Rv2332,Rv0211,Rv3601c,Rv2930,,
8,0.0412721301237082,0.00411010734558404,Rv1448c,Rv1445c,Rv1200,Rv3859c,Rv2476c,Rv1902c,Rv0211,Rv2930,,
8,0.021215202344281,0.0128646619989381,Rv1448c,Rv1445c,Rv3010c,Rv3356c,Rv2332,Rv0211,Rv3601c,Rv2930,,
8,0.020054348135137,0.0121607600895344,Rv1448c,Rv1200,Rv3356c,Rv1236,Rv2332,Rv1121,Rv1447c,Rv0211,,
8,0.0198325178058775,0.0120265063179395,Rv1448c,Rv1200,Rv3356c,Rv2476c,Rv1236,Rv1121,Rv1447c,Rv2780,,
8,0.0209480729740484,0.0127018801470634,Rv1122,Rv1844c,Rv1448c,Rv3010c,Rv1200,Rv3356c,Rv2476c,Rv2780,,
8,0.0197561038396651,0.00786733274851241,Rv1448c,Rv1445c,Rv3356c,Rv1236,Rv2920c,Rv1915,Rv0467,Rv2930,,
8,0.0211622602110598,0.0128327930396722,Rv1122,Rv1844c,Rv1448c,Rv3010c,Rv1200,Rv3356c,Rv2332,Rv0211,,
9,0.0199708836999218,0.012110119164864,Rv1448c,Rv3356c,Rv1236,Rv2332,Rv1121,Rv1447c,Rv0211,Rv3601c,Rv2930,
9,0.0412721301237082,0.00411010734558404,Rv1448c,Rv1200,Rv3859c,Rv2476c,Rv1902c,Rv1121,Rv1447c,Rv0211,Rv2930,
9,0.021215202344281,0.0128646619989381,Rv1122,Rv1844c,Rv1448c,Rv3010c,Rv3356c,Rv2332,Rv0211,Rv3601c,Rv2930,
10,0.0206946804088697,0.0125482716369863,Rv1448c,Rv3010c,Rv3356c,Rv2476c,Rv1121,Rv1447c,Rv0118c,Rv1837c,Rv2780,Rv2930
10,0.0210199613111737,0.0127470904814542,Rv1448c,Rv3010c,Rv3356c,Rv2476c,Rv2332,Rv1121,Rv1447c,Rv0211,Rv2780,Rv2930
