Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
8,0.147498310348261,0.511819617660095,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO0920,YPO0921,YPO3834,,,,
9,0.173009802766715,0.415852577489876,YPO2161,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO3142,YPO3376,YPO1149,,,
10,0.147498310348254,0.511819617659322,YPO2614,YPO3992,YPO0347,YPO0254,YPO3034,YPO1115,YPO2303,YPO3142,YPO1149,YPO1133,,
11,0.0871830788683667,0.650497101149991,YPO0461,YPO0918,YPO2161,YPO3992,YPO0347,YPO2288,YPO3142,YPO3358,YPO2067,YPO0921,YPO0439,
11,0.147498310348254,0.511819617659753,YPO0793,YPO2161,YPO3992,YPO0347,YPO2288,YPO2552,YPO3142,YPO3358,YPO3520,YPO1389,YPO1133,
8,0.14749831034826,0.511819617659238,YPO2157,YPO1541,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO0920,,,,
8,0.0931374635940672,0.716319107133499,YPO0357,YPO2066,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO3376,,,,
9,0.0871830788683668,0.650497101149192,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO3376,YPO0920,YPO1389,YPO3834,,,
9,0.0931374635940672,0.716319107136433,YPO0357,YPO1541,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO2067,YPO1133,,,
9,0.0931374635940672,0.716319107136433,YPO3827,YPO3992,YPO0347,YPO3080,YPO3034,YPO1115,YPO2303,YPO3520,YPO0921,,,
10,0.147498310348254,0.511819617660078,YPO2157,YPO2161,YPO1541,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO3142,YPO2067,,
12,0.147498310348267,0.511819617660559,YPO2614,YPO3992,YPO0347,YPO0254,YPO2288,YPO1115,YPO3142,YPO3358,YPO2074,YPO3520,YPO1389,YPO1133
8,0.0931374635940672,0.716319107131684,YPO2157,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO2074,YPO3520,,,,
8,0.0931374635940672,0.716319107136433,YPO2157,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO3141,YPO3520,,,,
9,0.0931373096075682,0.716310372640764,YPO2161,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO3142,YPO1149,YPO1133,,,
9,0.0931374635940673,0.716319107132812,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO2074,YPO3520,YPO1389,YPO1133,,,
10,0.0931374635940673,0.716319107132812,YPO2066,YPO2157,YPO2614,YPO3992,YPO0347,YPO0254,YPO3034,YPO1115,YPO2303,YPO3142,,
9,0.232214909373977,0.190430488265313,YPO2157,YPO2161,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO3142,YPO1149,,,
10,0.19125739347996,0.0817191665329366,YPO2161,YPO1541,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO3142,YPO2533,YPO3376,,
11,0.165491639521689,0.145375310351284,YPO2161,YPO3992,YPO0347,YPO2288,YPO1115,YPO3142,YPO3358,YPO3376,YPO2074,YPO3520,YPO0442,
10,0.19125739347996,0.0817191665253557,YPO2066,YPO2614,YPO3992,YPO0347,YPO0254,YPO3034,YPO1115,YPO2303,YPO3142,YPO1133,,
