Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,
2,0.283558381214824,0.0161713344806814,YPO1384,YPO1775,,,,,,,,
5,0.265548985475717,0.0151442586562779,YPO1384,YPO2552,YPO1109,YPO1115,YPO3418,,,,,
5,0.268605189875664,0.0153185539769374,YPO1384,YPO1541,YPO1109,YPO1115,YPO3418,,,,,
5,0.228016249452035,0.0130037667180849,YPO1384,YPO2066,YPO2552,YPO1109,YPO0921,,,,,
6,0.17681345991533,0.0100836716067427,YPO1384,YPO2552,YPO1109,YPO1115,YPO3520,YPO0921,,,,
6,0.251298402806374,0.0143315478851381,YPO1384,YPO3992,YPO0347,YPO2552,YPO1115,YPO3418,,,,
6,0.228016249452014,0.0130037667051403,YPO1384,YPO2066,YPO2552,YPO1109,YPO3376,YPO0442,,,,
7,0.279405241799804,0.0159344809418813,YPO1384,YPO2157,YPO1541,YPO3992,YPO0347,YPO1115,YPO3418,,,
7,0.279585657613725,0.0159447700509221,YPO1384,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO1149,,,
8,0.283558381214826,0.529323628770138,YPO1384,YPO2552,YPO1109,YPO3376,YPO3418,YPO1149,YPO2836,YPO2567,,
8,0.283558381214825,0.143720200894217,YPO1384,YPO0253,YPO1115,YPO3376,YPO3520,YPO3418,YPO1149,YPO2567,,
8,0.283558381214825,3.57214161778846,YPO1384,YPO2066,YPO2552,YPO1115,YPO3418,YPO0921,YPO2836,YPO2567,,
10,0.107632723647027,0.00613829423145526,YPO1384,YPO2157,YPO3992,YPO0347,YPO3034,YPO1115,YPO2303,YPO3358,YPO0920,YPO3834
10,0.282028561901593,0.0160840888572952,YPO1384,YPO1541,YPO3992,YPO0347,YPO3034,YPO2552,YPO1115,YPO2533,YPO1133,YPO2836
