Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,
3,0.262339959302874,0.23945315891147,YPO1541,YPO3285,YPO0463,,,,,,,,,
3,0.262339959302873,0.239453158911702,YPO2066,YPO3285,YPO0463,,,,,,,,,
3,0.262339959302873,0.239453158911702,YPO3285,YPO0463,YPO1149,,,,,,,,,
4,0.252747693616254,0.230697732078328,YPO2066,YPO2157,YPO1109,YPO0463,,,,,,,,
4,0.252747693616254,0.230697732078328,YPO2066,YPO1109,YPO0463,YPO0921,,,,,,,,
4,0.278597405677934,0.0559853729267983,YPO1109,YPO3141,YPO3520,YPO0921,,,,,,,,
4,0.278597405677934,0.0559853729258715,YPO2157,YPO1109,YPO2074,YPO0920,,,,,,,,
4,0.252747693616254,0.230697732078328,YPO1109,YPO0463,YPO0921,YPO1149,,,,,,,,
4,0.252747693616254,0.230697732078328,YPO2157,YPO1109,YPO0463,YPO1149,,,,,,,,
5,0.252747693616239,0.230697732079537,YPO1109,YPO0463,YPO0914,YPO1149,YPO1133,,,,,,,
5,0.278597405677935,0.0559853729259534,YPO0793,YPO1109,YPO3376,YPO3520,YPO0914,,,,,,,
5,0.278597405677934,0.0559853729259414,YPO1109,YPO3376,YPO2074,YPO0920,YPO0914,,,,,,,
5,0.230830072438723,0.210692226088537,YPO2157,YPO3992,YPO0347,YPO0463,YPO1149,,,,,,,
5,0.262756836336433,0.234748637388228,YPO2157,YPO3992,YPO0347,YPO3141,YPO3520,,,,,,,
5,0.252747693616239,0.230697732079537,YPO2066,YPO1109,YPO0463,YPO0914,YPO1133,,,,,,,
5,0.230830072438723,0.210692226088537,YPO2066,YPO2157,YPO3992,YPO0347,YPO0463,,,,,,,
5,0.262756836336432,0.234748637389966,YPO3992,YPO0347,YPO3520,YPO0921,YPO3834,,,,,,,
5,0.262756836336434,0.234748637388542,YPO3992,YPO0347,YPO2074,YPO0920,YPO0921,,,,,,,
5,0.252747693616239,0.230697732079537,YPO2066,YPO1109,YPO0463,YPO3376,YPO0914,,,,,,,
5,0.252747693616239,0.230697732079537,YPO2066,YPO1109,YPO0463,YPO3376,YPO0442,,,,,,,
6,0.230830072438737,0.210692226089697,YPO2157,YPO1541,YPO3992,YPO0347,YPO0463,YPO2067,,,,,,
6,0.262756836336433,0.234748637388482,YPO0793,YPO3992,YPO0347,YPO0920,YPO1133,YPO0442,,,,,,
6,0.252747693616239,0.230697732080203,YPO1541,YPO1109,YPO0463,YPO2533,YPO3376,YPO0914,,,,,,
7,0.230830072438724,0.210692226088553,YPO1541,YPO3992,YPO0347,YPO0463,YPO2067,YPO1133,YPO0442,,,,,
11,0.190491362121113,0.0641927511763167,YPO1137,YPO2157,YPO3949,YPO1845,YPO1511,YPO3034,YPO2067,YPO3141,YPO3520,YPO0442,YPO2393,
12,0.190491362121113,0.0641927512022465,YPO1137,YPO0461,YPO0091,YPO3080,YPO1845,YPO1511,YPO3034,YPO2067,YPO0920,YPO0921,YPO0442,YPO2393
